Person ID,Name,First name,Last name,Party,Constituency,URI
10001,Diane Abbott,Diane,Abbott,Labour,Hackney North and Stoke Newington,https://www.theyworkforyou.com/mp/10001/diane_abbott/hackney_north_and_stoke_newington
25034,Debbie Abrahams,Debbie,Abrahams,Labour,Oldham East and Saddleworth,https://www.theyworkforyou.com/mp/25034/debbie_abrahams/oldham_east_and_saddleworth
24878,Nigel Adams,Nigel,Adams,Conservative,Selby and Ainsty,https://www.theyworkforyou.com/mp/24878/nigel_adams/selby_and_ainsty
25661,Bim Afolami,Bim,Afolami,Conservative,Hitchin and Harpenden,https://www.theyworkforyou.com/mp/25661/bim_afolami/hitchin_and_harpenden
11929,Adam Afriyie,Adam,Afriyie,Conservative,Windsor,https://www.theyworkforyou.com/mp/11929/adam_afriyie/windsor
24904,Peter Aldous,Peter,Aldous,Conservative,Waveney,https://www.theyworkforyou.com/mp/24904/peter_aldous/waveney
24958,Rushanara Ali,Rushanara,Ali,Labour,Bethnal Green and Bow,https://www.theyworkforyou.com/mp/24958/rushanara_ali/bethnal_green_and_bow
25337,Lucy Allan,Lucy,Allan,Conservative,Telford,https://www.theyworkforyou.com/mp/25337/lucy_allan/telford
25348,Heidi Allen,Heidi,Allen,Independent,South Cambridgeshire,https://www.theyworkforyou.com/mp/25348/heidi_allen/south_cambridgeshire
25579,Rosena Allin-Khan,Rosena,Allin-Khan,Labour,Tooting,https://www.theyworkforyou.com/mp/25579/rosena_allin-khan/tooting
25702,Mike Amesbury,Mike,Amesbury,Labour,Weaver Vale,https://www.theyworkforyou.com/mp/25702/mike_amesbury/weaver_vale
10009,David Amess,David,Amess,Conservative,Southend West,https://www.theyworkforyou.com/mp/10009/sir_david_amess/southend_west
24864,Stuart Andrew,Stuart,Andrew,Conservative,Pudsey,https://www.theyworkforyou.com/mp/24864/stuart_andrew/pudsey
25634,Tonia Antoniazzi,Tonia,Antoniazzi,Labour,Gower,https://www.theyworkforyou.com/mp/25634/tonia_antoniazzi/gower
25396,Edward Argar,Edward,Argar,Conservative,Charnwood,https://www.theyworkforyou.com/mp/25396/edward_argar/charnwood
25120,Jon Ashworth,Jon,Ashworth,Labour/Co-operative,Leicester South,https://www.theyworkforyou.com/mp/25120/jon_ashworth/leicester_south
25424,Victoria Atkins,Victoria,Atkins,Conservative,Louth and Horncastle,https://www.theyworkforyou.com/mp/25424/victoria_atkins/louth_and_horncastle
11553,Ian Austin,Ian,Austin,Independent,Dudley North,https://www.theyworkforyou.com/mp/11553/ian_austin/dudley_north
10707,Richard Bacon,Richard,Bacon,Conservative,South Norfolk,https://www.theyworkforyou.com/mp/10707/richard_bacon/south_norfolk
25693,Kemi Badenoch,Kemi,Badenoch,Conservative,Saffron Walden,https://www.theyworkforyou.com/mp/25693/kemi_badenoch/saffron_walden
10683,Adrian Bailey,Adrian,Bailey,Labour/Co-operative,West Bromwich West,https://www.theyworkforyou.com/mp/10683/adrian_bailey/west_bromwich_west
24786,Steven Baker,Steven,Baker,Conservative,Wycombe,https://www.theyworkforyou.com/mp/24786/steven_baker/wycombe
24785,Harriett Baldwin,Harriett,Baldwin,Conservative,West Worcestershire,https://www.theyworkforyou.com/mp/24785/harriett_baldwin/west_worcestershire
24916,Stephen Barclay,Stephen,Barclay,Conservative,North East Cambridgeshire,https://www.theyworkforyou.com/mp/24916/stephen_barclay/north_east_cambridgeshire
25409,Hannah Bardell,Hannah,Bardell,Scottish National Party,Livingston,https://www.theyworkforyou.com/mp/25409/hannah_bardell/livingston
10715,John Baron,John,Baron,Conservative,Basildon and Billericay,https://www.theyworkforyou.com/mp/10715/john_baron/basildon_and_billericay
10027,Kevin Barron,Kevin,Barron,Labour,Rother Valley,https://www.theyworkforyou.com/mp/10027/kevin_barron/rother_valley
24736,Guto Bebb,Guto,Bebb,Conservative,Aberconwy,https://www.theyworkforyou.com/mp/24736/guto_bebb/aberconwy
10031,Margaret Beckett,Margaret,Beckett,Labour,Derby South,https://www.theyworkforyou.com/mp/10031/margaret_beckett/derby_south
25726,Órfhlaith Begley,Órfhlaith,Begley,Sinn Féin,West Tyrone,https://www.theyworkforyou.com/mp/25726/orfhlaith_begley/west_tyrone
10726,Henry Bellingham,Henry,Bellingham,Conservative,North West Norfolk,https://www.theyworkforyou.com/mp/10726/henry_bellingham/north_west_norfolk
10669,Hilary Benn,Hilary,Benn,Labour,Leeds Central,https://www.theyworkforyou.com/mp/10669/hilary_benn/leeds_central
11727,Richard Benyon,Richard,Benyon,Conservative,Newbury,https://www.theyworkforyou.com/mp/11727/richard_benyon/newbury
10040,John Bercow,John,Bercow,Speaker,Buckingham,https://www.theyworkforyou.com/mp/10040/john_bercow/buckingham
10041,Paul Beresford,Paul,Beresford,Conservative,Mole Valley,https://www.theyworkforyou.com/mp/10041/paul_beresford/mole_valley
24924,Luciana Berger,Luciana,Berger,Independent,"Liverpool, Wavertree",https://www.theyworkforyou.com/mp/24924/luciana_berger/liverpool%2C_wavertree
24860,Jake Berry,Jake,Berry,Conservative,Rossendale and Darwen,https://www.theyworkforyou.com/mp/24860/jake_berry/rossendale_and_darwen
10045,Clive Betts,Clive,Betts,Labour,Sheffield South East,https://www.theyworkforyou.com/mp/10045/clive_betts/sheffield_south_east
25269,Mhairi Black,Mhairi,Black,Scottish National Party,Paisley and Renfrewshire South,https://www.theyworkforyou.com/mp/25269/mhairi_black/paisley_and_renfrewshire_south
25361,Ian Blackford,Ian,Blackford,Scottish National Party,"Ross, Skye and Lochaber",https://www.theyworkforyou.com/mp/25361/ian_blackford/ross%2C_skye_and_lochaber
24945,Bob Blackman,Bob,Blackman,Conservative,Harrow East,https://www.theyworkforyou.com/mp/24945/bob_blackman/harrow_east
25314,Kirsty Blackman,Kirsty,Blackman,Scottish National Party,Aberdeen North,https://www.theyworkforyou.com/mp/25314/kirsty_blackman/aberdeen_north
11558,Roberta Blackman-Woods,Roberta,Blackman-Woods,Labour,City of Durham,https://www.theyworkforyou.com/mp/11558/roberta_blackman-woods/city_of_durham
24943,Paul Blomfield,Paul,Blomfield,Labour,Sheffield Central,https://www.theyworkforyou.com/mp/24943/paul_blomfield/sheffield_central
10051,Crispin Blunt,Crispin,Blunt,Conservative,Reigate,https://www.theyworkforyou.com/mp/10051/crispin_blunt/reigate
24766,Nicholas Boles,Nicholas,Boles,Independent,Grantham and Stamford,https://www.theyworkforyou.com/mp/24766/nicholas_boles/grantham_and_stamford
11915,Peter Bone,Peter,Bone,Conservative,Wellingborough,https://www.theyworkforyou.com/mp/11915/peter_bone/wellingborough
10057,Peter Bottomley,Peter,Bottomley,Conservative,Worthing West,https://www.theyworkforyou.com/mp/10057/peter_bottomley/worthing_west
25703,Andrew Bowie,Andrew,Bowie,Conservative,West Aberdeenshire and Kincardine,https://www.theyworkforyou.com/mp/25703/andrew_bowie/west_aberdeenshire_and_kincardine
25592,Tracy Brabin,Tracy,Brabin,Labour/Co-operative,Batley and Spen,https://www.theyworkforyou.com/mp/25592/tracy_brabin/batley_and_spen
25683,Ben Bradley,Ben,Bradley,Conservative,Mansfield,https://www.theyworkforyou.com/mp/25683/ben_bradley/mansfield
24725,Karen Bradley,Karen,Bradley,Conservative,Staffordshire Moorlands,https://www.theyworkforyou.com/mp/24725/karen_bradley/staffordshire_moorlands
10061,Ben Bradshaw,Ben,Bradshaw,Labour,Exeter,https://www.theyworkforyou.com/mp/10061/ben_bradshaw/exeter
10062,Graham Brady,Graham,Brady,Conservative,Altrincham and Sale West,https://www.theyworkforyou.com/mp/10062/graham_brady/altrincham_and_sale_west
13893,Mickey Brady,Mickey,Brady,Sinn Féin,Newry and Armagh,https://www.theyworkforyou.com/mp/13893/mickey_brady/newry_and_armagh
